,,,,,,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchregu,tchcont,tchpart,,,,,,,
97,C.R.C. NO. 18,24091500404,SCHOOL NO.73,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,46,32,37,29,44,42,29,32,40,52,40,39,27,32,41,32,0,0,0,0,0,0,0,0,4,13,17,10,7,16,1,0,,,,,,,
98,C.R.C. NO. 4,24091500405,SHREE BHARTI VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,10,17,13,10,19,17,21,26,22,26,14,25,25,17,15,0,0,0,0,0,0,0,0,0,10,10,5,5,10,0,0,,,,,,,
99,C.R.C. NO. 4,24091500408,NUTANKUMAR MANDIR SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,10,4,7,7,9,7,10,6,5,7,14,7,11,7,6,6,0,0,0,0,0,0,0,0,0,8,8,4,4,8,0,0,,,,,,,
100,C.R.C. NO. 4,24091500409,RAJ PRI. SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,6,3,3,3,8,4,1,5,7,1,4,5,9,3,1,3,0,0,0,0,0,0,0,0,1,8,9,5,4,9,0,0,,,,,,,
101,C.R.C. NO. 4,24091500411,SURBHI VIDHAYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,7,3,1,3,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,5,8,5,3,8,0,0,,,,,,,
102,C.R.C. NO. 5,24091500412,PRATHMIK SCHOOL NO. 100,Municipal School Board(MSB)                                                ,Primary                                                                    ,34,34,22,33,21,36,29,30,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,8,0,8,0,0,,,,,,,
103,C.R.C. NO. 4,24091500415,I.P.MISSION PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,10,32,19,40,19,33,15,48,10,44,0,44,0,63,0,84,0,0,0,0,0,0,0,0,0,6,6,3,3,6,0,0,,,,,,,
104,C.R.C. NO. 4,24091500416,JAVAHAR SHISHU VIHAR,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,7,2,7,1,3,3,2,2,5,4,9,13,10,3,10,1,0,0,0,0,0,0,0,0,0,6,6,3,2,6,0,0,,,,,,,
105,C.R.C. NO. 4,24091500417,SADHU VASVANI PR.SCHOOL(ENGLISH),Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,19,21,33,17,25,21,21,18,28,16,26,10,13,20,13,14,19,8,13,10,11,1,16,5,2,18,20,4,8,7,13,0,,,,,,,
106,C.R.C. NO. 4,24091500418,SADHU VASVANI PR.SCHOOL(GUJARATI),Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,15,21,34,20,17,14,29,26,28,19,29,22,17,18,24,32,30,22,27,16,14,14,7,13,1,6,7,2,2,7,0,0,,,,,,,
107,C.R.C. NO. 4,24091500420,AAL MADRASA TUS SAIFIYA TUL BURHANIYAH,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,27,14,15,20,20,15,22,15,20,12,12,10,14,14,11,7,6,14,5,11,0,0,0,0,6,11,17,8,6,17,0,0,,,,,,,
108,C.R.C. NO. 4,24091500421, I. P. MISSION GIRLS HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,227,0,191,0,117,6,10,16,0,0,16,0,0,,,,,,,
109,C.R.C. NO. 4,24091500422,EKNATH RANDE VIDHYALAYA,Local body                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,17,0,0,0,0,2,5,7,0,0,7,0,0,,,,,,,
110,C.R.C. NO. 4,24091500424,SHRI DEV KUVARBA HIGH SCHOOL,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,13,26,27,0,0,0,0,3,0,3,0,0,3,0,0,,,,,,,
111,C.R.C. NO. 4,24091500427,PARASMANI VIDHYALAYA,Pvt. Aided                                                                 ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,40,4,0,0,0,0,3,1,4,0,0,4,0,0,,,,,,,
112,C.R.C. NO. 18,24091500501,SCHOOL NO.49,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,11,6,10,9,6,18,12,17,10,17,11,10,10,10,4,10,0,0,0,0,0,0,0,0,4,3,7,4,3,7,0,0,,,,,,,
113,C.R.C. NO. 18,24091500502,SCHOOL NO.58,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,30,39,36,35,32,38,47,38,36,40,34,38,41,34,30,41,0,0,0,0,0,0,0,0,4,13,17,10,7,17,0,0,,,,,,,
114,C.R.C. NO. 18,24091500503,SCHOOL NO.70,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,10,21,9,18,14,7,18,20,10,8,11,12,13,10,8,10,0,0,0,0,0,0,0,0,4,5,9,6,3,9,0,0,,,,,,,
115,C.R.C. NO. 18,24091500504,SCHOOL NO.80,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,15,17,20,13,17,14,20,14,23,15,15,22,26,18,24,14,0,0,0,0,0,0,0,0,3,7,10,5,5,10,0,0,,,,,,,
116,C.R.C. NO. 23,24091500505,SCHOOL NO.96 B,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,21,13,23,24,23,17,22,25,21,18,21,24,20,20,22,25,0,0,0,0,0,0,0,0,2,7,9,5,4,9,0,0,,,,,,,
117,C.R.C. NO. 23,24091500506,SCHOOL NO.61,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,43,34,40,33,37,37,35,45,37,40,69,68,79,55,66,52,0,0,0,0,0,0,0,0,6,14,20,11,9,20,0,0,,,,,,,
118,C.R.C. NO. 5,24091500508,SCHOOL NO. 71,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,22,42,32,30,27,34,28,40,33,34,43,32,38,34,19,24,0,0,0,0,0,0,0,0,11,3,14,10,4,14,0,0,,,,,,,
119,C.R.C. NO. 5,24091500509,RAJ VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,45,33,43,27,40,32,51,34,50,45,52,39,36,42,39,32,0,0,0,0,0,0,0,0,8,7,15,5,10,0,15,0,,,,,,,
120,C.R.C. NO. 5,24091500510,RAJARAM PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,54,41,49,24,47,29,59,31,53,34,55,32,60,39,68,33,0,0,0,0,0,0,0,0,6,7,13,7,6,0,13,0,,,,,,,
121,C.R.C. NO. 5,24091500511,KRISHNA PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,37,34,36,37,36,57,46,44,29,33,30,25,38,28,0,0,0,0,0,0,0,0,0,0,2,5,7,2,5,7,0,0,,,,,,,
122,C.R.C. NO. 5,24091500513,DATATRAY PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,44,55,52,68,46,34,45,46,42,29,43,24,26,41,42,38,0,0,0,0,0,0,0,0,1,2,3,2,1,3,0,0,,,,,,,
123,C.R.C. NO. 5,24091500515,SHYAM VIDYA VIHAR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,13,14,11,7,9,10,1,5,4,8,7,7,2,1,1,0,0,0,0,0,0,0,0,1,9,10,5,5,10,0,0,,,,,,,
124,C.R.C. NO. 5,24091500516,VISHWER VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,13,2,12,8,6,13,8,10,8,11,16,7,10,5,2,3,0,0,0,0,0,0,0,0,3,5,8,4,4,8,0,0,,,,,,,
125,C.R.C. NO. 5,24091500519,SHREE MURLIDHAR VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,30,29,30,27,28,26,32,20,24,31,40,20,29,24,17,23,0,0,0,0,0,0,0,0,7,4,11,6,5,7,4,0,,,,,,,
126,C.R.C. NO. 5,24091500521,VASUDEV VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,1,2,3,2,1,0,3,0,,,,,,,
127,C.R.C. NO. 5,24091500522,SHREE OM VIDHYAMANDIR,Pvt. Unaided                                                               ,Pr. Up Pr. and Secondary Only                                              ,29,30,27,26,28,34,28,32,33,30,36,24,26,29,31,21,24,16,23,17,0,0,0,0,3,9,12,5,3,3,9,0,,,,,,,
128,C.R.C. NO. 5,24091500523,SHREE MADHUVAN SHAIKSHANIK SANKUL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,31,29,25,34,24,18,32,29,37,16,27,17,29,9,24,14,0,0,0,0,0,0,0,0,1,7,8,5,3,1,7,0,,,,,,,
129,C.R.C. NO. 5,24091500525,SHREE SWAMINARAYAN SHISHUMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,2,0,0,2,3,0,0,2,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,2,0,,,,,,,
130,C.R.C. NO. 5,24091500526,SHRI RAJMANDIR MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary Only                                                             ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,27,37,26,0,0,0,0,4,1,5,0,0,2,3,0,,,,,,,
131,C.R.C. NO. 5,24091500527,SHRI GAJANAND PRIMARY SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,17,14,15,17,13,15,10,8,6,10,10,10,12,11,13,0,0,0,0,0,0,0,0,0,6,6,3,3,0,6,0,,,,,,,
132,C.R.C. NO. 5,24091500529,SMT. M. M. PATEL GIRL'S SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,9,0,3,0,8,0,4,0,7,0,2,0,5,0,9,0,0,0,0,0,0,0,0,2,7,9,5,4,0,9,0,,,,,,,
133,C.R.C. NO. 12,24091500530,SHAKTI HIGHER SECONDARY SCHOOL,Pvt. Unaided                                                               ,Higher Secondary only/Jr. College                                          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,79,181,96,9,4,13,0,0,8,5,0,,,,,,,
134,C.R.C. NO. 5,24091500531,SHREE NILKANTH MADHYAMIK SHALA,Pvt. Unaided                                                               ,Secondary with Higher Secondary                                            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,45,78,27,25,11,10,5,5,3,8,0,0,0,8,0,,,,,,,
135,C.R.C. NO. 5,24091500532,SHRI RAMKRUSHNA VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,2,23,7,16,6,15,4,18,11,25,9,24,3,29,5,0,0,0,0,0,0,0,0,4,2,6,3,3,6,0,0,,,,,,,
136,C.R.C. NO. 5,24091500533,SATELLITE SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,31,34,37,29,28,29,46,28,37,18,32,23,20,24,24,12,0,0,0,0,0,0,0,0,3,13,16,8,8,16,0,0,,,,,,,
137,C.R.C. NO. 5,24091500534,VINAY VIDYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,0,0,0,1,0,2,0,4,1,8,0,22,1,23,3,0,0,0,0,0,0,0,0,5,5,10,7,3,6,4,0,,,,,,,
138,C.R.C. NO. 5,24091500535,SHREE KUMAR VIDHYA MANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,6,9,12,6,8,6,9,2,2,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,1,3,4,2,2,4,0,0,,,,,,,
139,C.R.C. NO. 5,24091500536,SHREE NIRMALA VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,8,13,12,13,4,7,22,8,9,9,12,14,7,9,0,0,0,0,0,0,0,0,0,0,2,6,8,8,0,0,8,0,,,,,,,
140,C.R.C. NO. 23,24091500601,SCHOOL NO. 49B,Municipal School Board(MSB)                                                ,Primary                                                                    ,35,25,21,23,13,14,17,12,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,5,0,0,,,,,,,
141,C.R.C. NO. 22,24091500602,SCHOOL NO.52,Municipal School Board(MSB)                                                ,Primary with Upper Primary                                                 ,8,22,11,18,17,19,21,21,15,14,28,26,40,28,40,40,0,0,0,0,0,0,0,0,2,10,12,6,6,12,0,0,,,,,,,
142,C.R.C. NO. 6,24091500605,SARASWATI PRI.VIDHYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,30,11,29,17,29,19,27,16,30,12,35,12,31,4,42,0,0,0,0,0,0,0,0,1,10,11,6,5,11,0,0,,,,,,,
143,C.R.C. NO. 6,24091500607,SRI  SANT GYANESHWAR VIDHYALAYA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,39,33,38,20,35,26,35,26,39,31,39,24,41,21,39,29,0,0,0,0,0,0,0,0,4,8,12,6,6,0,12,0,,,,,,,
144,C.R.C. NO. 6,24091500608,RAVI VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,32,30,38,20,35,25,37,28,38,30,38,25,41,21,43,22,0,0,0,0,0,0,0,0,2,10,12,6,6,0,12,0,,,,,,,
145,C.R.C. NO. 6,24091500609,SHREE JAY HIND VIDHYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,18,23,32,18,28,17,25,27,16,20,33,16,12,13,17,8,0,0,0,0,0,0,0,0,3,5,8,5,3,8,0,0,,,,,,,
146,C.R.C. NO. 6,24091500612,MAZHAR VIDHAYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,0,27,0,23,0,34,0,43,0,34,0,49,0,52,0,66,0,0,0,0,0,0,0,0,0,8,8,6,2,6,2,0,,,,,,,
147,C.R.C. NO. 6,24091500613,SHEYASH VIDHAYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,15,4,10,7,16,10,13,15,9,7,11,4,10,5,7,5,0,0,0,0,0,0,0,0,0,10,10,9,1,10,0,0,,,,,,,
148,C.R.C. NO. 6,24091500614,JAY HIND VIDHIYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,36,29,24,26,22,31,38,23,33,19,28,16,29,11,21,15,0,0,0,0,0,0,0,0,5,4,9,5,4,9,0,0,,,,,,,
149,C.R.C. NO. 6,24091500616,VUNDAVAN VIDHIYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,2,1,2,1,1,4,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,0,5,0,0,,,,,,,
150,C.R.C. NO. 7,24091500617,TAGORE VIDYAMANDIR,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,29,19,26,15,34,21,26,22,33,17,34,24,30,22,34,17,0,0,0,0,0,0,0,0,2,8,10,5,5,1,9,0,,,,,,,
151,C.R.C. NO. 6,24091500619,NALANDA PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,30,29,39,22,34,29,35,25,38,27,42,18,36,25,33,25,0,0,0,0,0,0,0,0,0,9,9,5,4,1,8,0,,,,,,,
152,C.R.C. NO. 6,24091500620,APNI SHALA,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,12,5,17,8,21,18,15,16,17,13,18,10,14,14,12,13,0,0,0,0,0,0,0,0,2,6,8,4,4,8,0,0,,,,,,,
153,C.R.C. NO. 6,24091500621,MEHUL PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,40,20,29,22,28,26,34,20,36,18,29,20,31,22,27,24,0,0,0,0,0,0,0,0,1,8,9,5,4,1,8,0,,,,,,,
154,C.R.C. NO. 6,24091500625,PANCHSHIL VIDYALAY,Pvt. Unaided                                                               ,Pr. with Up.Pr. sec. and H.Sec.                                            ,48,21,37,29,48,31,40,36,59,20,68,34,64,31,78,41,44,32,58,23,19,11,13,10,8,28,36,12,12,34,2,0,,,,,,,
155,C.R.C. NO. 6,24091500627,PARTH VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,14,12,2,11,12,8,14,10,13,13,12,4,7,6,6,3,0,0,0,0,0,0,0,0,4,3,7,3,4,0,7,0,,,,,,,
156,C.R.C. NO. 6,24091500630,NANHE MUNHE PR.SCHOOL,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,7,4,8,4,8,3,8,7,6,3,2,4,8,6,7,4,0,0,0,0,0,0,0,0,3,4,7,5,2,3,4,0,,,,,,,
157,C.R.C. NO. 6,24091500631,VINAYAK VIDYALAY,Pvt. Unaided                                                               ,Primary with Upper Primary                                                 ,9,10,9,7,9,7,10,5,8,8,8,6,9,4,4,4,0,0,0,0,0,0,0,0,5,3,8,3,5,2,6,0,,,,,,,
